cve,status,attempts,wall_time_seconds,orchestrator_phase,orchestrator_summary,orchestrator_last_error,orchestrator_next_action,worktree_cleanup_policy,worktree_cleanup_attempted,worktree_removed,worktree_cleanup_error,worktree_snapshot,opencode_input_tokens,opencode_output_tokens,opencode_reasoning_tokens,opencode_cache_read_tokens,opencode_cache_write_tokens,opencode_total_tokens,opencode_llm_calls,opencode_tool_calls,opencode_cost,openrouter_generations,openrouter_prompt_tokens,openrouter_completion_tokens,openrouter_reasoning_tokens,openrouter_total_tokens,openrouter_cost,openrouter_key_spend_delta,agent_summary,failure_reason,worktree,worktree_ref
CVE-2024-0006,opencode_error,2,1489.81,implementation,"Final status opencode_error after 2 attempt(s). Attempt ended as opencode_error; phase=implementation. Agent did not provide a usable EXPERIMENT_RESULT.json summary. Changed files observed: cves/cve-2024-0006-yugabyte-platform-log-password-leak/exploit/platform_node_action.py, cves/cve-2024-0006-yugabyte-platform-log-password-leak/exploit/run_node_action.py, cves/cve-2024-0006-yugabyte-platform-log-password-leak/flake.lock, cves/cve-2024-0006-yugabyte-platform-log-password-leak/flake.nix, cves/cve-2024-0006-yugabyte-platform-log-password-leak/test.py, cves/cve-2024-0006-yugabyte-platform-log-password-leak/vm-platform.nix. Last activity: Insufficient credits. Add more using https://openrouter.ai/settings/credits",,"Inspect OpenCode stderr and the last tool output, then rerun the CVE after fixing the reported error.",finished,True,True,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/results/CVE-2024-0006/worktree-snapshot,1808744,13657,46961,8172288,0,10041650,69,86,0.49902126399999985,0,0,0,0,0,0.0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-0006,6671e3819650c0a3c2ba6fa59d13646db9777cde
CVE-2024-25638,opencode_error,2,5.912,agent_activity,Final status opencode_error after 2 attempt(s). Attempt ended as opencode_error; phase=agent_activity. Agent did not provide a usable EXPERIMENT_RESULT.json summary. Last activity: Insufficient credits. Add more using https://openrouter.ai/settings/credits,,"Inspect OpenCode stderr and the last tool output, then rerun the CVE after fixing the reported error.",finished,True,True,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/results/CVE-2024-25638/worktree-snapshot,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-25638,6671e3819650c0a3c2ba6fa59d13646db9777cde
CVE-2024-34361,success,1,2617.652,build_or_eval,"Final status success after 1 attempt(s). Attempt ended as success; phase=build_or_eval. Agent reported: Reproduced Pi-hole gravity SSRF (CVE-2024-34361): an authenticated adlist URL is passed to curl without scheme validation in gravity_DownloadBlocklistFromUrl (v5.18.2), letting a gopher:// URL drive a co-located Redis to write a PHP webshell that executes commands as root. Fixed (v5.18.3) rejects the gopher scheme. Both vulnerable and fixed NixOS test variants passed. Changed files observed: cves/cve-2024-34361-pihole-gravity-ssrf/exploit/gravity-download.sh, cves/cve-2024-34361-pihole-gravity-ssrf/exploit/gravity_DownloadBlocklistFromUrl_v5.18.2.sh, cves/cve-2024-34361-pihole-gravity-ssrf/exploit/gravity_DownloadBlocklistFromUrl_v5.18.3.sh, cves/cve-2024-34361-pihole-gravity-ssrf/exploit/poc.py, cves/cve-2024-34361-pihole-gravity-ssrf/flake.lock, cves/cve-2024-34361-pihole-gravity-ssrf/flake.nix, cves/cve-2024-34361-pihole-gravity-ssrf/readme.md, cves/cve-2024-34361-pihole-gravity-ssrf/test.py. Last activity: CVE-2024-34361 reproduced successfully. Final report: ```text CVE: CVE-2024-34361 (Pi-hole gravity blind SSRF -> gopher/Redis RCE) Case directory: cves/cve-2024-34361-pihole-gravity-ssrf/ Files added: flake.nix...","cd /home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-34361 && timeout 300 nix run . -- list-cves 2>/dev/null | grep -i 34361; echo ""=== list-vms ===""; timeout 300 nix run . -- list-vms --case cve-2024-34361-pihole-gravity-ssrf 2>/dev/null",Review the case files and import the README/test evidence.,finished,True,True,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/results/CVE-2024-34361/worktree-snapshot,756347,24116,39727,14996352,0,15816535,111,122,0.5436624759999998,0,0,0,0,0,0.0,,"Reproduced Pi-hole gravity SSRF (CVE-2024-34361): an authenticated adlist URL is passed to curl without scheme validation in gravity_DownloadBlocklistFromUrl (v5.18.2), letting a gopher:// URL drive a co-located Redis to write a PHP webshell that executes commands as root. Fixed (v5.18.3) rejects the gopher scheme. Both vulnerable and fixed NixOS test variants passed.",,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-34361,6671e3819650c0a3c2ba6fa59d13646db9777cde
CVE-2024-37299,success,1,3849.474,automated_test,"Final status success after 1 attempt(s). Attempt ended as success; phase=automated_test. Agent reported: Reproduced Discourse DoS via over-long tag group name (CWE-400). Vulnerable Discourse 3.2.2 accepts and stores a 300-character tag group name (POST /tag_groups returns 200 and the marker NICE-CVE-2024-37299-TAGGROUP appears in the listing); fixed Discourse 3.2.5 rejects it with 422 'Name is too long (maximum is 100 characters)', stores nothing, and remains healthy. Both automated NixOS VM variants pass via the NICE Archive CLI. Changed files observed: cves/cve-2024-37299-discourse-tag-group-dos/exploit/discourse_trigger.py, cves/cve-2024-37299-discourse-tag-group-dos/flake.lock, cves/cve-2024-37299-discourse-tag-group-dos/flake.nix, cves/cve-2024-37299-discourse-tag-group-dos/readme.md, cves/cve-2024-37299-discourse-tag-group-dos/test.py, cves/cve-2024-37299-discourse-tag-group-dos/vm-attacker.nix, cves/cve-2024-37299-discourse-tag-group-dos/vm-server.nix. Last activity: All test sessions completed (no leftover processes). Reproduction is complete and verified. ```text CVE: CVE-2024-37299 Case directory: cves/cve-2024-37299-discourse-tag-group-dos Files added/changed: flake.nix, flake.lock, vm-server.nix, vm-attacke...","cd /home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-37299 && timeout 120 nice-archive list-cves 2>&1 | grep -i 37299; timeout 120 nice-archive list-vms --case cve-2024-37299-discourse-tag-group-dos 2>&1 | head; echo ""--- leftover qemu from my sessions ---""; ps aux | grep -E ""qemu-kvm.*cve-2024-37299|qemu-kvm.*server"" | grep -v grep | wc -l",Review the case files and import the README/test evidence.,finished,True,True,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/results/CVE-2024-37299/worktree-snapshot,2341085,36840,73023,36870656,0,39321570,216,233,1.390891908,0,0,0,0,0,0.0,,"Reproduced Discourse DoS via over-long tag group name (CWE-400). Vulnerable Discourse 3.2.2 accepts and stores a 300-character tag group name (POST /tag_groups returns 200 and the marker NICE-CVE-2024-37299-TAGGROUP appears in the listing); fixed Discourse 3.2.5 rejects it with 422 'Name is too long (maximum is 100 characters)', stores nothing, and remains healthy. Both automated NixOS VM variants pass via the NICE Archive CLI.",,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-37299,6671e3819650c0a3c2ba6fa59d13646db9777cde
CVE-2024-37306,opencode_error,2,5.918,agent_activity,Final status opencode_error after 2 attempt(s). Attempt ended as opencode_error; phase=agent_activity. Agent did not provide a usable EXPERIMENT_RESULT.json summary. Last activity: Insufficient credits. Add more using https://openrouter.ai/settings/credits,,"Inspect OpenCode stderr and the last tool output, then rerun the CVE after fixing the reported error.",finished,True,True,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/results/CVE-2024-37306/worktree-snapshot,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-37306,6671e3819650c0a3c2ba6fa59d13646db9777cde
CVE-2024-37896,opencode_error,2,5.621,agent_activity,Final status opencode_error after 2 attempt(s). Attempt ended as opencode_error; phase=agent_activity. Agent did not provide a usable EXPERIMENT_RESULT.json summary. Last activity: Insufficient credits. Add more using https://openrouter.ai/settings/credits,,"Inspect OpenCode stderr and the last tool output, then rerun the CVE after fixing the reported error.",finished,True,True,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/results/CVE-2024-37896/worktree-snapshot,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-37896,6671e3819650c0a3c2ba6fa59d13646db9777cde
CVE-2024-37904,success,1,2832.196,automated_test,"Final status success after 1 attempt(s). Attempt ended as success; phase=automated_test. Agent reported: Reproduced the Minder (Stacklok) Git-provider memory-exhaustion DoS: a Minder user instructs the server-side Git provider (a faithful harness of internal/providers/git git.go Clone()) to clone an oversized 2 GiB repository. Vulnerable build (commit 85985445) decodes the repository into go-git memory + memfs with no size limit and the process is OOM-killed (kernel 'Out of memory: Killed process (minder-clone-ha)', systemd 'code=killed, status=9/KILL'); the fixed build (commit 7979b43, memboxfs.LimitedFs 100 MB default cap) rejects the clone in ~0.5 s with 'repository is too large to clone' and stays healthy. Both vulnerable and fixed automated NixOS tests passed, and both were also observed manually in isolated scenario VMs. Changed files observed: cves/cve-2024-37904-minder-git-clone-dos/exploit/attacker/attack.py, cves/cve-2024-37904-minder-git-clone-dos/exploit/harness/clone_fixed.go, cves/cve-2024-37904-minder-git-clone-dos/exploit/harness/clone_vulnerable.go, cves/cve-2024-37904-minder-git-clone-dos/exploit/harness/go.mod, cves/cve-2024-37904-minder-git-clone-dos/exploit/harness/go.sum, cves/cve-2024-37904-minde...","{ ""cve"": ""CVE-2024-37904"", ""status"": ""success"", ""summary"": ""Reproduced the Minder (Stacklok) Git-provider memory-exhaustion DoS: a Minder user instructs the server-side Git provider (a faithful harness of internal/providers/git git.go Clone()) to clone an oversized 2 GiB repository. Vulnerable build (commit 85985445) decodes the repository into go-git memory + memfs with no size limit and the process is OOM-killed (kernel 'Out of memory: Killed process (minder-clone-ha)', systemd 'code=killed...",Review the case files and import the README/test evidence.,finished,True,True,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/results/CVE-2024-37904/worktree-snapshot,2528640,39726,93168,42691584,0,45353118,216,237,1.5865842719999999,0,0,0,0,0,0.0,,"Reproduced the Minder (Stacklok) Git-provider memory-exhaustion DoS: a Minder user instructs the server-side Git provider (a faithful harness of internal/providers/git git.go Clone()) to clone an oversized 2 GiB repository. Vulnerable build (commit 85985445) decodes the repository into go-git memory + memfs with no size limit and the process is OOM-killed (kernel 'Out of memory: Killed process (minder-clone-ha)', systemd 'code=killed, status=9/KILL'); the fixed build (commit 7979b43, memboxfs.LimitedFs 100 MB default cap) rejects the clone in ~0.5 s with 'repository is too large to clone' and stays healthy. Both vulnerable and fixed automated NixOS tests passed, and both were also observed manually in isolated scenario VMs.",,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-37904,6671e3819650c0a3c2ba6fa59d13646db9777cde
CVE-2024-39690,success,2,10351.035,automated_test,"Final status success after 2 attempt(s). Attempt ended as success; phase=automated_test. Agent reported: Reproduced Capsule tenant-owner namespace hijack (CWE-863) by driving the real Capsule ownerreference admission webhook OnUpdate handler compiled from v0.7.0 (vulnerable) and v0.7.1 (fixed) inside isolated NixOS test VMs. Vulnerable allows patching kube-system (HIJACK_KUBE_SYSTEM=ALLOWED); fixed denies it (DENIED: Denied patch request for this namespace) while a legitimately tenant-owned namespace update stays allowed in both. Changed files observed: cves/cve-2024-39690-capsule-namespace-hijack/exploit/repro-fixed, cves/cve-2024-39690-capsule-namespace-hijack/exploit/repro-vuln, cves/cve-2024-39690-capsule-namespace-hijack/exploit/repro/main.go, cves/cve-2024-39690-capsule-namespace-hijack/flake.lock, cves/cve-2024-39690-capsule-namespace-hijack/flake.nix, cves/cve-2024-39690-capsule-namespace-hijack/readme.md, cves/cve-2024-39690-capsule-namespace-hijack/test.py, cves/cve-2024-39690-capsule-namespace-hijack/vm-server.nix. Last activity: Reproduction complete. Final report: ```text CVE: CVE-2024-39690 Case directory: cves/cve-2024-39690-capsule-namespace-hijack/ Files added/changed: flake.nix, vm-server.nix, test.py...","Now let me finalize by writing the EXPERIMENT_RESULT.json at the worktree root. Then re-stage the readme. The schema: { ""cve"": ""CVE-2024-39690"", ""status"": ""success"" | ""failure"" | ""inconclusive"", ""summary"": ""short factual summary"", ""test_command"": ""final verification command or null"", ""test_exit_code"": 0, ""retries"": 0, ""evidence"": [""short evidence item""], ""failure_reason"": null } test_command: The final verification command was `nice-archive test --case cve-2024-39690-capsule-namespace-hijack ...",Review the case files and import the README/test evidence.,finished,True,True,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/results/CVE-2024-39690/worktree-snapshot,1046177,21587,33950,7253888,0,8355482,98,123,0.3651240040000001,0,0,0,0,0,0.0,,Reproduced Capsule tenant-owner namespace hijack (CWE-863) by driving the real Capsule ownerreference admission webhook OnUpdate handler compiled from v0.7.0 (vulnerable) and v0.7.1 (fixed) inside isolated NixOS test VMs. Vulnerable allows patching kube-system (HIJACK_KUBE_SYSTEM=ALLOWED); fixed denies it (DENIED: Denied patch request for this namespace) while a legitimately tenant-owned namespace update stays allowed in both.,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-39690,6671e3819650c0a3c2ba6fa59d13646db9777cde
CVE-2024-41655,inconclusive,2,1800.294,scenario_validation,"Final status inconclusive after 2 attempt(s). Attempt ended as inconclusive; phase=scenario_validation. Agent did not provide a usable EXPERIMENT_RESULT.json summary. Changed files observed: cves/cve-2024-41655-tf2-item-format-redos/exploit/parse.js, cves/cve-2024-41655-tf2-item-format-redos/exploit/payload.txt, cves/cve-2024-41655-tf2-item-format-redos/flake.lock, cves/cve-2024-41655-tf2-item-format-redos/flake.nix, cves/cve-2024-41655-tf2-item-format-redos/readme.md, cves/cve-2024-41655-tf2-item-format-redos/test.py, cves/cve-2024-41655-tf2-item-format-redos/vm-server.nix. Last activity: Same dir, same path — statSync works but require fails. Let me compare the bytes of the env",timeout 120 ssh -o User=root -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null vsock-mux//run/user/1000/tmp5695dbwu/server_host.socket 'bash --noprofile --norc -s' < /tmp/tf2pkg/debug_guest4.sh 2>&1 | head -40,Inspect the worktree and attempt logs; preserve useful partial work and rerun or write the missing result file for bookkeeping.,finished,True,True,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/results/CVE-2024-41655/worktree-snapshot,901956,22207,90303,13082624,0,14097088,145,158,0.524090112,0,0,0,0,0,0.0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-41655,6671e3819650c0a3c2ba6fa59d13646db9777cde
CVE-2024-41668,opencode_error,2,5.415,agent_activity,Final status opencode_error after 2 attempt(s). Attempt ended as opencode_error; phase=agent_activity. Agent did not provide a usable EXPERIMENT_RESULT.json summary. Last activity: Insufficient credits. Add more using https://openrouter.ai/settings/credits,,"Inspect OpenCode stderr and the last tool output, then rerun the CVE after fixing the reported error.",finished,True,True,,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/results/CVE-2024-41668/worktree-snapshot,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/lundi3691/study/phd/nice-archive-test/cves/llm-experiment/worktrees/CVE-2024-41668,6671e3819650c0a3c2ba6fa59d13646db9777cde
