cve,status,attempts,wall_time_seconds,orchestrator_phase,orchestrator_last_error,orchestrator_next_action,opencode_input_tokens,opencode_output_tokens,opencode_reasoning_tokens,opencode_cache_read_tokens,opencode_cache_write_tokens,opencode_total_tokens,opencode_llm_calls,opencode_tool_calls,opencode_cost,openrouter_generations,openrouter_prompt_tokens,openrouter_completion_tokens,openrouter_reasoning_tokens,openrouter_total_tokens,openrouter_cost,openrouter_key_spend_delta,agent_summary,failure_reason,worktree,worktree_ref,
CVE-2024-11003,timeout,1,7200.202,orchestrator,,No action taken by this resumed batch.,472682,43395,96618,25724160,0,26336855,189,200,0.8256556,0,0,0,0,0,0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-11003,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2024-38372,inconclusive,1,4233.222,orchestrator,,No action taken by this resumed batch.,292702,21042,36730,8755968,0,9106442,80,96,0.302321544,0,0,0,0,0,0,,"Built a working NixOS client/server harness (undici 6.19.1 vulnerable vs 6.19.2 fixed) that runs fetch().arrayBuffer() probes. Vulnerable test failed: leaks=0 over 400 iterations (incl. Content-Length mismatch probing); fixed test passed: leaks=0. The memory disclosure is non-deterministic per upstream (nodejs/undici#3337 reporter could not reproduce locally, no deterministic PoC/regression test exists) and did not manifest in the controlled lab, so vulnerable behavior could not be demonstrated.","CVE-2024-38372 is a probabilistic process-memory disclosure in undici fetch().arrayBuffer() that depends on pooled socket-buffer reuse and network/process conditions; it was not reproducible deterministically even by the original reporter, no public PoC or regression test exists, and the controlled NixOS lab returned 0 leaks on the vulnerable package over 800 iterations plus mismatched-Content-Length probing.",/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-38372,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2024-41957,interrupted,0,,orchestrator,SIGINT,No action taken by this resumed batch.,,,,,,,,,,,,,,,,,,,,,
CVE-2024-43373,inconclusive,1,123.646,orchestrator,,No action taken by this resumed batch.,66845,2534,3401,496128,0,568908,12,18,0.024911684,0,0,0,0,0,0,,"CVE-2024-43373 is an arbitrary file write in the npm 'webcrack' module (<=2.14.0) via path traversal using Windows path separators (backslash). The vulnerable behavior is specific to Windows: webcrack applies node:path POSIX normalize/join, which do not treat '\' as a separator, so the modulePath.startsWith(path) check is bypassed while the native writeFile later decodes '\' as a separator on Windows. On Linux, backslash is an ordinary filename character, so the same malicious bundle does not traverse and no arbitrary file write occurs. The upstream fix commit (4bc5c6f) guards its Windows regression test with test.runIf(sep === '\\'), confirming only Windows is affected. Because the affected behavior is Windows-specific and not reproducible on a Linux NixOS VM, the CVE is out of scope for the NICE Archive (Linux) framework per the eligibility gate. No case directory or reproduction was created.",Out of scope: arbitrary-file-write vulnerability is specific to Windows (backslash path separators), the Linux build of webcrack is not affected by the same behavior and it cannot be demonstrated in a Linux NixOS VM.,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-43373,7ea56cfbb07fd86781764eb1cadd69f65cb1970a
CVE-2024-47877,success,1,2423.148,orchestrator,,No action taken by this resumed batch.,554751,18348,40574,7934720,0,8548375,77,98,0.31633546,0,0,0,0,0,0,,Reproduced codeclysm/extract symlink traversal: a crafted tar with a symlink pointing outside the extraction dir followed by a nested entry escapes the target. Vulnerable v3.1.1 created /srv/leak/sym outside /srv/extracted (PASS), fixed v4.0.0 rejected the archive and created nothing outside (PASS). Both automated NixOS tests ran via the NICE Archive CLI and passed.,,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-47877,7ea56cfbb07fd86781764eb1cadd69f65cb1970a
CVE-2024-48991,timeout,1,7200.202,orchestrator,,No action taken by this resumed batch.,2493437,40716,103270,25774464,0,28411887,168,182,1.111082252,0,0,0,0,0,0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-48991,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2024-51491,success,1,2946.138,orchestrator,,No action taken by this resumed batch.,371043,22094,28209,6742784,0,7164130,91,106,0.254828812,0,0,0,0,0,0,,"Reproduced notation-go CRL file-cache EXDEV denial of service (CVE-2024-51491). With the OS temp dir on a separate tmpfs mount, the vulnerable v1.3.0-rc.1 crl.(*FileCache).Set fails with 'invalid cross-device link' and aborts; fixed v1.3.0-rc.2 writes the cache within the same mount point and succeeds. Both NixOS test variants pass with a machine-checkable oracle.",,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-51491,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2024-51757,opencode_error,1,4404.97,orchestrator,,No action taken by this resumed batch.,753835,14516,50527,9149184,0,9967952,106,116,0.379926092,0,0,0,0,0,0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-51757,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2024-52600,success,1,3281.213,orchestrator,,No action taken by this resumed batch.,279805,15543,28984,6276352,0,6600684,61,76,0.227378116,0,0,0,0,0,0,,"Reproduced Statamic CMS asset upload path traversal (CWE-22) using a minimal PHP harness that faithfully ported Statamic's AssetUploader::getSafeFilename replacement tables (5.16.0 vulnerable vs 5.17.0 fixed). Vulnerable variant placed the crafted '%2e%2e%2fmarker.txt' upload at /srv/assets/sub/marker.txt, overwriting the legit marker; fixed variant sanitized it to '..-marker.txt' inside the configured folder and preserved the marker. Both NICE Archive tests passed with assertion-block oracles on target-unique guest markers.",,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-52600,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2024-6587,timeout,1,7200.203,automated_test,"The setup service's import check STILL fails with libstdc++ (the earlier import test in litellm-setup), but the setup service environment has LD_LIBRARY_PATH set now... wait, I set LD_LIBRARY_PATH on the litellm-setup service AND litellm-proxy. But the log shows the same libstdc++ error at 948s in litellm-setup-start. Hmm, but the setup service now has `environment.LD_LIBRARY_PATH = ...`. Did that not apply? Let me reconsider — maybe the LD_LIBRARY_PATH environment in systemd doesn't get used...","Inspect the last observed command/output, fix any stuck build or test, then rerun with resume enabled.",1713201,28758,46280,14780928,0,16569167,145,158,0.674724764,0,0,0,0,0,0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-6587,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2024-7476,failure,1,529.604,orchestrator,,No action taken by this resumed batch.,70962,7555,10607,1314048,0,1403172,27,44,0.051813384,0,0,0,0,0,0,,"CVE-2024-7476 is a broken-access-control flaw in lunary-ai/lunary (POST /v1/templates/{id}/versions modifying any user's template). Identified the real target, confirmed the vulnerable commit 6a0bc201181e vs fixed commit 8f563c77d8614a72980113f530c7a9ec15a5f8d5 from the fixing patch in fork mathd/lunary, but could not complete the NixOS VM reproduction: the upstream repo was removed and the host root filesystem is full (ENOSPC during npm ci of the multi-GB monorepo), so the full-stack app could not be built or run and no vulnerable/fixed behavior was demonstrated.","Full reproduction infeasible in this environment: vulnerable target is a heavy full-stack npm-workspaces monorepo (Koa backend + Next.js + Prisma/Postgres + native deps) whose upstream repo was removed, and the host disk is full causing ENOSPC during dependency install, so the app could not be built/run in NixOS VMs to demonstrate vulnerable/fixed behavior. Source-level vulnerable/fixed difference was verified from the fixing patch.",/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-7476,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2024-8998,opencode_error,1,310.398,orchestrator,,No action taken by this resumed batch.,49513,1166,944,282624,0,334247,9,17,0.015436092,0,0,0,0,0,0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2024-8998,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2025-1215,success,1,2421.954,orchestrator,,No action taken by this resumed batch.,216064,17969,24602,5872896,0,6131531,68,79,0.206609928,0,0,0,0,0,0,,"Reproduced Vim --log-with-inaccessible-path crash (CVE-2025-1215). Vulnerable vim 9.1.1096 SIGSEGVs (exit 139, core dump Signal 11 SEGV) when running 'vim --log /X/CVE-2025-1215-nonexistent.log -c qa!'; fixed vim 9.1.1097 prints 'E484: Can't open file' and exits normally. Both vulnerable and fixed NixOS automated tests pass.",,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2025-1215,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2025-22132,success,1,4879.957,orchestrator,,No action taken by this resumed batch.,279684,12783,19267,4044032,0,4355766,66,72,0.161362656,0,0,0,0,0,0,,Reproduced WeGIA stored XSS / unrestricted file upload (CVE-2025-22132) in a NixOS VM. Vuln controller controla_xlsx.php (v3.2.6) accepts and stores xss.php_00 containing a script marker, fixed controller (commit 330f641 / v3.2.7) rejects it. Both automated tests passed.,,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2025-22132,7ea56cfbb07fd86781764eb1cadd69f65cb1970a
CVE-2025-22614,success,1,5206.96,orchestrator,,No action taken by this resumed batch.,520879,26325,50256,14355200,0,14952660,124,132,0.49631134,0,0,0,0,0,0,,Reproduced WeGIA stored XSS (dependente_editarInfoPessoal.php) in a NixOS test: a genuine vulnerable/fixed PHP endpoint (nginx+php-fpm+MariaDB) stores an attacker <script> payload raw in the vulnerable build and sanitized in the fixed build, both vulnerable and fixed automated tests passed.,,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2025-22614,7ea56cfbb07fd86781764eb1cadd69f65cb1970a
CVE-2025-24794,success,1,2459.988,orchestrator,,No action taken by this resumed batch.,158069,14537,36551,5753856,0,5963013,54,69,0.197542268,0,0,0,0,0,0,,"Reproduced insecure pickle deserialization of the Snowflake Connector Python OCSP response cache (CWE-502, local privilege escalation). Vulnerable connector 3.12.4 executes a planted pickled os.system gadget as root when importing snowflake.connector.ocsp_snowflake, creating a root-owned marker; fixed connector 3.13.2 uses JSON and does not execute it.",,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2025-24794,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
CVE-2025-27399,opencode_error,1,6178.094,orchestrator,,No action taken by this resumed batch.,220572,22234,64597,17564928,0,17872331,133,143,0.547010744,0,0,0,0,0,0,,Agent did not write EXPERIMENT_RESULT.json,missing_result_file,/home/ubuntu/nice-archive/cves/llm-experiment-results/CVE-2025-27399,7ea56cfbb07fd86781764eb1cadd69f65cb1970a,
